唱える (となえる)	to recite	proof	unmarried woman 	to propose
主催 (しゅさい)	sponsorship 	news coverage	disposal	income
取材 (しゅざい)	news coverage	disposal	income	victory
処分 (しょぶん)	disposal	income	victory	rising
所得 (しょとく)	income	victory	rising	new face
勝利 (しょうり)	victory	rising	new face	advance 
上昇 (じょうしょう)	rising	new face	advance 	people
新人 (しんじん)	new face	advance 	people	generation
進出 (しんしゅつ)	advance 	people	generation	sanctions
人民 (じんみん)	people	generation	sanctions	good result
世代 (せだい)	generation	sanctions	good result	normalcy
制裁 (せいさい)	sanctions	good result	normalcy	declaration
成果 (せいか)	good result	normalcy	declaration	being in the red
正常 (せいじょう)	normalcy	declaration	being in the red	establishment
声明 (せいめい)	declaration	being in the red	establishment	battle
赤字 (あかじ)	being in the red	establishment	battle	preamble
設置 (せっち)	establishment	battle	preamble	litigation
戦闘 (せんとう)	battle	preamble	litigation	personal experience
前提 (ぜんてい)	preamble	litigation	personal experience	dialogue
訴訟 (そしょう)	litigation	personal experience	dialogue	delay
体験 (たいけん)	personal experience	dialogue	delay	pillar
対話 (たいわ)	dialogue	delay	pillar	secretary 
遅れ (おくれ)	delay	pillar	secretary 	usual
柱 (はしら)	pillar	secretary 	usual	being elected 
長官 (ちょうかん)	secretary 	usual	being elected 	integration
通常 (つうじょう)	usual	being elected 	integration	introduction
当選 (とうせん)	being elected 	integration	introduction	original
統合 (とうごう)	integration	introduction	original	interior
導入 (どうにゅう)	introduction	original	interior	recognition
独自 (どくじ)	original	interior	recognition	opposition
内部 (ないぶ)	interior	recognition	opposition	proportion
認識 (にんしき)	recognition	opposition	proportion	private secretary 
反発 (はんぱつ)	opposition	proportion	private secretary 	art
比例 (ひれい)	proportion	private secretary 	art	real estate
秘書 (ひしょ)	private secretary 	art	real estate	unclear
美術 (びじゅつ)	art	real estate	unclear	burden
不動産 (ふどうさん)	real estate	unclear	burden	arms
不明 (ふめい)	unclear	burden	arms	armed might
負担 (ふたん)	burden	arms	armed might	welfare
武装 (ぶそう)	arms	armed might	welfare	dispute
武力 (ぶりょく)	armed might	welfare	dispute	insurance
福祉 (ふくし)	welfare	dispute	insurance	maintenance 
紛争 (ふんそう)	dispute	insurance	maintenance 	collapse
保険 (ほけん)	insurance	maintenance 	collapse	bill 
保守 (ほしゅ)	maintenance 	collapse	bill 	honor
崩壊 (ほうかい)	collapse	bill 	honor	to ask
法案 (ほうあん)	bill 	honor	to ask	influential
名誉 (めいよ)	honor	to ask	influential	financing
問う (とう)	to ask	influential	financing	expectation
有力 (ゆうりょく)	influential	financing	expectation	appeal
融資 (ゆうし)	financing	expectation	appeal	discussion
予想 (よそう)	expectation	appeal	discussion	document
要請 (ようせい)	appeal	discussion	document	will
論議 (ろんぎ)	discussion	document	will	handle
文書 (ぶんしょ)	document	will	handle	alliance
意欲 (いよく)	will	handle	alliance	public opinion
取っ手 (とって)	handle	alliance	public opinion	pressure
同盟 (どうめい)	alliance	public opinion	pressure	transportation
世論 (せろん)	public opinion	pressure	transportation	making use of
圧力 (あつりょく)	pressure	transportation	making use of	production 
運輸 (うんゆ)	transportation	making use of	production 	application
運用 (うんよう)	making use of	production 	application	cancellation
演出 (えんしゅつ)	production 	application	cancellation	qualitative difference
応募 (おうぼ)	application	cancellation	qualitative difference	lively
解除 (かいじょ)	cancellation	qualitative difference	lively	infection
格差 (かくさ)	qualitative difference	lively	infection	fund
活発 (かっぱつ)	lively	infection	fund	stipulation
感染 (かんせん)	infection	fund	stipulation	doubt
基金 (ききん)	fund	stipulation	doubt	relief
規定 (きてい)	stipulation	doubt	relief	refusal
疑惑 (ぎわく)	doubt	relief	refusal	distance
救援 (きゅうえん)	relief	refusal	distance	compulsion
拒否 (きょひ)	refusal	distance	compulsion	achievement
距離 (きょり)	distance	compulsion	achievement	business
強制 (きょうせい)	compulsion	achievement	business	composition
業績 (ぎょうせき)	achievement	business	composition	service
業務 (ぎょうむ)	business	composition	service	expenses
曲 (きょく)	composition	service	expenses	vigilance
勤務 (きんむ)	service	expenses	vigilance	decision
経費 (けいひ)	expenses	vigilance	decision	decision
警戒 (けいかい)	vigilance	decision	decision	formation
決意 (けつい)	decision	decision	formation	power
決断 (けつだん)	decision	formation	power	crude oil
結成 (けっせい)	formation	power	crude oil	decrease
権限 (けんげん)	power	crude oil	decrease	present
原油 (げんゆ)	crude oil	decrease	present	elevation
減少 (げんしょう)	decrease	present	elevation	favourable
現行 (げんこう)	present	elevation	favourable	diplomatic relations
向上 (こうじょう)	elevation	favourable	diplomatic relations	rebuilding
好調 (こうちょう)	favourable	diplomatic relations	rebuilding	calamity
国交 (こっこう)	diplomatic relations	rebuilding	calamity	murder
再建 (さいけん)	rebuilding	calamity	murder	will
災害 (さいがい)	calamity	murder	will	command
殺人 (さつじん)	murder	will	command	qualifications
志 (こころざし)	will	command	qualifications	independence
指揮 (しき)	command	qualifications	independence	axis
資格 (しかく)	qualifications	independence	axis	income and expenditure
自主 (じしゅ)	independence	axis	income and expenditure	employee
軸 (じく)	axis	income and expenditure	employee	coaching school
収支 (しゅうし)	income and expenditure	employee	coaching school	performance
従業員 (じゅうぎょういん)	employee	coaching school	performance	minority
塾 (じゅく)	coaching school	performance	minority	witness
出演 (しゅつえん)	performance	minority	witness	judging
少数 (しょうすう)	minority	witness	judging	correction
証人 (しょうにん)	witness	judging	correction	justice
審査 (しんさ)	judging	correction	justice	establishment
是正 (ぜせい)	correction	justice	establishment	dispute
正義 (せいぎ)	justice	establishment	dispute	market price 
設立 (せつりつ)	establishment	dispute	market price 	Minister of Finance
争い (あらそい)	dispute	market price 	Minister of Finance	promotion
相場 (そうば)	market price 	Minister of Finance	promotion	loss 
蔵相 (ぞうしょう)	Minister of Finance	promotion	loss 	diverse
促進 (そくしん)	promotion	loss 	diverse	compromise
損失 (そんしつ)	loss 	diverse	compromise	blow
多様 (たよう)	diverse	compromise	blow	attitude
妥協 (だきょう)	compromise	blow	attitude	order
打撃 (だげき)	blow	attitude	order	challenge
態勢 (たいせい)	attitude	order	challenge	offer
秩序 (ちつじょ)	order	challenge	offer	conversion
挑戦 (ちょうせん)	challenge	offer	conversion	registration
提供 (ていきょう)	offer	conversion	registration	trend
転換 (てんかん)	conversion	registration	trend	fellow
登録 (とうろく)	registration	trend	fellow	pupil in ... year
動向 (どうこう)	trend	fellow	pupil in ... year	fuel
同士 (どうし)	fellow	pupil in ... year	fuel	brain 
年生 (ねんせい)	pupil in ... year	fuel	brain 	destruction
燃料 (ねんりょう)	fuel	brain 	destruction	abolition
脳 (のう)	brain 	destruction	abolition	compensation
破壊 (はかい)	destruction	abolition	compensation	outbreak
廃止 (はいし)	abolition	compensation	outbreak	reaction
賠償 (ばいしょう)	compensation	outbreak	reaction	ratio
発生 (はっせい)	outbreak	reaction	ratio	decomposition
反応 (はんのう)	reaction	ratio	decomposition	arms
比率 (ひりつ)	ratio	decomposition	arms	soldier
腐敗 (ふはい)	decomposition	arms	soldier	return
兵器 (へいき)	arms	soldier	return	assistance
兵士 (へいし)	soldier	return	assistance	compensation
返還 (へんかん)	return	assistance	compensation	form
補助 (ほじょ)	assistance	compensation	form	preference
補償 (ほしょう)	compensation	form	preference	deposit
方式 (ほうしき)	form	preference	deposit	main cause
優先 (ゆうせん)	preference	deposit	main cause	circulation 
預金 (よきん)	deposit	main cause	circulation 	league
要因 (よういん)	main cause	circulation 	league	merger 
流通 (りゅうつう)	circulation 	league	merger 	starting
連盟 (れんめい)	league	merger 	starting	structure
合併 (がっぺい)	merger 	starting	structure	to excel
発足 (ほっそく)	starting	structure	to excel	hope
仕組み (しくみ)	structure	to excel	hope	suffer deterioration
勝る (まさる)	to excel	hope	suffer deterioration	still
見込み (みこみ)	hope	suffer deterioration	still	historic ruins 
悪化 (あっか)	suffer deterioration	still	historic ruins 	chug!
依然 (いぜん)	still	historic ruins 	chug!	all
遺跡 (いせき)	historic ruins 	chug!	all	series
一気 (いっき)	chug!	all	series	yokozuna 
一切 (いっさい)	all	series	yokozuna 	becoming a member
一連 (いちれん)	series	yokozuna 	becoming a member	stroke 
横綱 (よこづな)	yokozuna 	becoming a member	stroke 	intervention
加入 (かにゅう)	becoming a member	stroke 	intervention	collection
画 (かく)	stroke 	intervention	collection	acquisition
介入 (かいにゅう)	intervention	collection	acquisition	establishment
回収 (かいしゅう)	collection	acquisition	establishment	sudden change
獲得 (かくとく)	acquisition	establishment	sudden change	relief
確立 (かくりつ)	establishment	sudden change	relief	cooperation
逆転 (ぎゃくてん)	sudden change	relief	cooperation	public prosecutor
救済 (きゅうさい)	relief	cooperation	public prosecutor	source 
協調 (きょうちょう)	cooperation	public prosecutor	source 	individuality
検事 (けんじ)	public prosecutor	source 	individuality	particular case
源 (みなもと)	source 	individuality	particular case	official recognition
個性 (こせい)	individuality	particular case	official recognition	efficiency
個別 (こべつ)	particular case	official recognition	efficiency	handicraft 
公認 (こうにん)	official recognition	efficiency	handicraft 	protest
効率 (こうりつ)	efficiency	handicraft 	protest	basis
工作 (こうさく)	handicraft 	protest	basis	resuscitation
抗議 (こうぎ)	protest	basis	resuscitation	vote
根拠 (こんきょ)	basis	resuscitation	vote	cell
再生 (さいせい)	resuscitation	vote	cell	source of funds
採決 (さいけつ)	vote	cell	source of funds	administration of justice
細胞 (さいぼう)	cell	source of funds	administration of justice	indication
財源 (ざいげん)	source of funds	administration of justice	indication	pointing out
司法 (しほう)	administration of justice	indication	pointing out	opinion
指示 (しじ)	indication	pointing out	opinion	attempt
指摘 (してき)	pointing out	opinion	attempt	prior
視点 (してん)	opinion	attempt	prior	public order
試み (こころみ)	attempt	prior	public order	resignation
事前 (じぜん)	prior	public order	resignation	substance
治安 (ちあん)	public order	resignation	substance	sovereignty
辞職 (じしょく)	resignation	substance	sovereignty	main constituent
実質 (じっしつ)	substance	sovereignty	main constituent	leadership
主権 (しゅけん)	sovereignty	main constituent	leadership	defense
主体 (しゅたい)	main constituent	leadership	defense	meaning
主導 (しゅどう)	leadership	defense	meaning	receiving
守備 (しゅび)	defense	meaning	receiving	fullness
趣旨 (しゅし)	meaning	receiving	fullness	flexible
受け入れ (うけいれ)	receiving	fullness	flexible	belonging to 
充実 (じゅうじつ)	fullness	flexible	belonging to 	bed
柔軟 (じゅうなん)	flexible	belonging to 	bed	evidence
所属 (しょぞく)	belonging to 	bed	evidence	testimony
床 (とこ)	bed	evidence	testimony	superior 
